Sentence,SIGN GLOSSES
the lassi is very thick,LASSI VERY THICK
mix some sugar in it,MIX SUGAR IT
the filter coffee is strong,FILTER COFFEE STRONG
i want a light breakfast,I WANT LIGHT BREAKFAST
poha or upma,POHA OR UPMA
two dosas please,TWO DOSA PLEASE
where is the nearest atm,WHERE NEAREST ATM
the atm is out of cash,ATM OUT CASH
i need to transfer money,I NEED TRANSFER MONEY
upi payment accepted,UPI PAYMENT ACCEPT
the transaction failed,TRANSACTION FAIL
enter your pin,ENTER YOUR PIN
the receipt is not coming,RECEIPT NOT COME
my account is frozen,MY ACCOUNT FROZEN
minimum balance is required,MINIMUM BALANCE REQUIRE
contact the bank manager,CONTACT BANK MANAGER
what are the visiting hours,VISITING HOURS WHAT
the patient is in icu,PATIENT IN ICU
the operation was successful,OPERATION SUCCESSFUL
the doctor will come in rounds,DOCTOR COME ROUNDS
give this report to the doctor,GIVE REPORT DOCTOR
the test results are normal,TEST RESULTS NORMAL
i need an x ray,I NEED XRAY
the swelling has reduced,SWELLING REDUCE
take bed rest for a week,TAKE BED REST ONE WEEK
do not lift heavy objects,NOT LIFT HEAVY OBJECTS
walk in the morning,WALK MORNING
avoid oily food,AVOID OILY FOOD
drink warm water,DRINK WARM WATER
the cough is not going,COUGH NOT GO
consult a specialist,CONSULT SPECIALIST
which ward is he in,HE IN WHICH WARD
the visiting time is four to six,VISITING TIME FOUR SIX
bring fruits for the patient,BRING FRUITS PATIENT
the discharge is tomorrow,DISCHARGE TOMORROW
take follow up next month,TAKE FOLLOW UP NEXT MONTH
i need a job,I NEED JOB
i have five years experience,I HAVE FIVE YEAR EXPERIENCE
i am a fresher,I FRESHER
my resume is ready,MY RESUME READY
the interview went well,INTERVIEW GO WELL
i got rejected,I GET REJECT
try again next time,TRY AGAIN NEXT TIME
the joining date is monday,JOINING DATE MONDAY
the salary is negotiable,SALARY NEGOTIABLE
i work in the it sector,I WORK IT SECTOR
my shift is night,MY SHIFT NIGHT
i work six days a week,I WORK SIX DAY WEEK
i got a bonus,I GET BONUS
my contract ends this month,MY CONTRACT END THIS MONTH
i am looking for a new job,I LOOK NEW JOB
i resigned yesterday,I RESIGN YESTERDAY
notice period is one month,NOTICE PERIOD ONE MONTH
my manager is strict,MY MANAGER STRICT
team meeting is at ten,TEAM MEETING TEN
work from home tomorrow,WORK HOME TOMORROW
who took my lunch box,WHO TAKE MY LUNCH BOX
your shoe lace is open,YOUR SHOE LACE OPEN
tuck in your shirt,TUCK IN YOUR SHIRT
you have something on your face,YOU HAVE SOMETHING YOUR FACE
the zip is open,ZIP OPEN
change your clothes,CHANGE YOUR CLOTHES
the colour does not match,COLOUR NOT MATCH
this shirt is torn,SHIRT TORN
your bag is unzipped,YOUR BAG UNZIP
stand straight,STAND STRAIGHT
today is too hot,TODAY TOO HOT
drink coconut water,DRINK COCONUT WATER
stay indoors in the afternoon,STAY INDOORS AFTERNOON
use sunscreen,USE SUNSCREEN
wear cotton clothes,WEAR COTTON CLOTHES
the summer is long this year,SUMMER LONG THIS YEAR
the fan is not enough,FAN NOT ENOUGH
turn on the ac,TURN ON AC
the power cut is from two to four,POWER CUT TWO FOUR
buy an ice cream,BUY ICE CREAM
which movie are you watching,YOU WATCH WHICH MOVIE
i like action movies,I LIKE ACTION MOVIE
the movie got good reviews,MOVIE GET GOOD REVIEW
book two tickets for tonight,BOOK TWO TICKET TONIGHT
the show is houseful,SHOW HOUSEFUL
watch it on ott,WATCH OTT
i finished the series,I FINISH SERIES
recommend a good series,RECOMMEND GOOD SERIES
i like thriller genre,I LIKE THRILLER
subtitles are important for me,SUBTITLE IMPORTANT ME
i am going to the temple,I GO TEMPLE
light a candle,LIGHT CANDLE
the festival of lights is here,FESTIVAL LIGHTS HERE
give charity today,GIVE CHARITY TODAY
help the needy,HELP NEEDY
speak the truth always,SPEAK TRUTH ALWAYS
god is watching,GOD WATCHING
count your blessings,COUNT YOUR BLESSINGS
be kind to everyone,BE KIND EVERYONE
do good deeds,DO GOOD DEEDS
the river is flowing fast,RIVER FLOW FAST
the mountain is very high,MOUNTAIN VERY HIGH
we went trekking,WE GO TREKKING
the waterfall is beautiful,WATERFALL BEAUTIFUL
the beach is crowded,BEACH CROWDED
the desert is very hot,DESERT VERY HOT
wildlife sanctuary nearby,WILDLIFE SANCTUARY NEARBY
birds are migrating,BIRD MIGRATE
the lake is clean,LAKE CLEAN
pollution is ruining nature,POLLUTION RUIN NATURE
do you play any instrument,YOU PLAY INSTRUMENT
i play tabla,I PLAY TABLA
she sings classical music,SHE SING CLASSICAL MUSIC
the concert is on saturday,CONCERT SATURDAY
i like folk songs,I LIKE FOLK SONG
music is my hobby,MUSIC MY HOBBY
i dance bharatanatyam,I DANCE BHARATANATYAM
practice makes perfect,PRACTICE MAKE PERFECT
the rhythm is off,RHYTHM OFF
tune the guitar,TUNE GUITAR
i read novels,I READ NOVEL
this book is very deep,BOOK VERY DEEP
i finished reading it,I FINISH READ
suggest a good book,SUGGEST GOOD BOOK
i bought it online,I BUY ONLINE
the book is out of stock,BOOK OUT STOCK
i borrowed from library,I BORROW LIBRARY
return the book on time,RETURN BOOK TIME
the author is famous,AUTHOR FAMOUS
i love poetry,I LOVE POETRY
i need to fill the form,I NEED FILL FORM
attach your photo,ATTACH YOUR PHOTO
self attested copy required,SELF ATTESTED COPY REQUIRE
the form is only online now,FORM ONLY ONLINE NOW
the website is down,WEBSITE DOWN
take a printout,TAKE PRINTOUT
the ink is finished,INK FINISH
staple these papers,STAPLE PAPERS
the file is missing,FILE MISSING
make three copies,MAKE THREE COPIES
i am feeling much better,I FEEL MUCH BETTER
the pain is gone,PAIN GONE
i slept well last night,I SLEEP WELL LAST NIGHT
my appetite is back,MY APPETITE BACK
the swelling is less today,SWELLING LESS TODAY
i can walk again,I CAN WALK AGAIN
the stitches were removed,STITCHES REMOVE
i have a checkup next week,I HAVE CHECKUP NEXT WEEK
the physiotherapy is helping,PHYSIOTHERAPY HELP
i feel strong again,I FEEL STRONG AGAIN
the child is very naughty,CHILD VERY NAUGHTY
put the baby to sleep,PUT BABY SLEEP
the baby is crying,BABY CRY
feed the baby,FEED BABY
the child has fever,CHILD HAVE FEVER
take the child to the doctor,TAKE CHILD DOCTOR
the school bag is ready,SCHOOL BAG READY
the child does not want to go,CHILD NOT WANT GO
read a story to the child,READ STORY CHILD
the child fell down,CHILD FALL DOWN
do not run inside the house,NOT RUN INSIDE HOUSE
finish your homework first,FINISH YOUR HOMEWORK FIRST
no screen time before bed,NO SCREEN TIME BEFORE BED
drink your milk,DRINK YOUR MILK
wash your hands before eating,WASH HANDS BEFORE EAT
say thank you,SAY THANK YOU
share your toys,SHARE YOUR TOYS
do not fight,NOT FIGHT
be a good child,BE GOOD CHILD
i am proud of you,I PROUD YOU
are you free today,YOU FREE TODAY
are you hiding something,YOU HIDE SOMETHING
bring water for me,BRING WATER ME
can i help you,I HELP YOU
can you repeat that please,YOU REPEAT PLEASE
comb your hair,COMB YOU HAIR
congratulations,CONGRATULATIIONS
could you please talk slower,YOU PLEASE TALK SLOWER
do me a favour,DO ME FAVOUR
do not abuse him,DONOT ABUSE HIM
do not be stubborn,DONOT BE STUBBORN
do not hurt me ,DONOT HURT ME
do not make me angry,DO NOT MAKE ME ANGRY
do not take it to the heart,DO NOT TAKE IT HEART
do not worry,DO NOT WORRY
do you need something,DO YOU NEED SOMETHING
go and sleep,GO SLEEP
had your food,YOUR FOOD
he came by train,HE CAME TRAIN
He is going into the room,HE GO  INTO  ROOM
he is on the way,HE ON WAY
he she is my friend,HE SHE MY FRIEND
he would be coming today,HE COMING TODAY
help me,HELP ME
hi how are you,HI HOW YOU
how are things,HOW THINGS
how can i help you,HOW I HELP YOU
how can i trust you,HOW I TRUST YOU
how dare you,HOW DARE YOU
how old are you,HOW OLD YOU
i am (age),I (AGE)
i am afraid of that,I AFRAID THAT
i am crying,I CRY
i am feeling bored,I FEELING BORED
i am feeling cold,I FEELING COLD
i am fine. thank you sir,I FINE. THANK YOU SIR
i am hungry,I HUNGRY
i am in dilemma what to do,I IN DILEMMA WHAT TO DO
i am not really sure,I NOT REALLY SURE
i am really grateful,I REALLY GRATEFUL
i am sitting in the class,I SITTING IN THE CLASS
i am so sorry to hear that,I AM SO SORRY TO HEAR THAT
i am suffering from fever,I SUFFERING FROM FEVER
i am tired,I TIRED
i am very happy,I VERY HAPPY
i can not help you there,I NOT HELP YOU THERE
i do not agree,I DONOT AGREE
i do not like it,I DO NOT LIKE IT
i do not mean it,I DO NOT MEAN IT
i dont agree,I DONT AGREE
i enjoyed a lot,I ENJOYED A LOT
i got hurt,I GOT HURT
i like you i love you,I LIKE YOU I LOVE YOU
i need water,I NEED WATER
i promise,I PROMISE
i really appreciate it,I REALLY APPRECIATE IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT
i was stopped by some one,I STOPPED BY SOMEONE
it does not make any difference to me,IT DO NOT MAKE ANY DIFFERENCE TO ME
it was nice chatting with you,IT NICE CHAT WITH YOU
let him take time,LET HIM TAKE TIME
my name is xxxxxxxx,MY NAME XXXXXXXX
nice to meet you,NICE MEET YOU
No need to worry dont worry,NO NEED WORRY DONT WORRY
now onwards he will never hurt you,NOW ONWARDS HE NEVER HURT YOU
pour some more water into the glass,POUR SOME MORE WATER INTO THE GLASS
prepare the bed,PREPARE BED
serve the food,SERVE FOOD
shall we go outside,WE GO OUTSIDE
speak softly,SPEAK SOFTLY
take care of yourself,TAKE CARE OF YOURSELF
tell me truth,TELL ME TRUTH
thank you so much,THANK YOU SO MUCH
that is so kind of you,THAT KIND YOU
This place is beautiful,THIS PLACE BEAUTIFUL
try to understand,TRY TO UNDERSTAND
turn on light turn off light,TURN ON LIGHT TURN OFF LIGHT
we are all with you,WE ALL WITH YOU
wear the shirt,WEAR SHIRT
what are you doing,WHAT YOU DO
what did you tell him,WHAT YOU TELL HIM
what do you do,WHAT YOU DO
what do you think,WHAT DO YOU THINK
what do you want to become,WHAT DO YOU WANT BECOME
what happened,WHAT HAPPENED
what have you planned for your career,WHAT HAVE YOU PLAN YOUR CAREER
what is your phone number,WHAT YOUR PHONE NUMBER
what you want,WHAT YOU WANT
when will the train leave,WHEN TRAIN LEAVE
where are you from,WHERE YOU FROM
which college school are you from,WHICH COLLEGE SCHOOL YOU FROM
who are you,WHO YOU
why are you angry,WHY YOU ANGRY
why are you crying,WHY YOU CRY
why are you disappointed,WHY YOU DISAPPOINTED
you are bad,YOU BAD
you are good,YOU GOOD
you are welcome,YOU WELCOME
you can do it,YOU DO IT
"you do anything, i do not care","YOU DO ANYTHING, I DO NOT CARE"
"you need a medicine, take this one","YOU NEED A MEDICINE, TAKE THIS ONE"
